ident_bag,i_id,pax_id_hash,MessageReceivedDate,MessageProcessedDate,DateEvent,TagNumber,local_or_transfer
62792879,8634971,d80a14a980b66a1eb81dabfc6e45a3c8,2023-07-07 09:31:50.690,2023-07-07 09:31:51.463,2023-07-07 09:31:51.460,555374902,L
62792914,8634971,d80a14a980b66a1eb81dabfc6e45a3c8,2023-07-07 09:32:59.623,2023-07-07 09:33:02.807,2023-07-07 09:33:02.803,555374903,L
62793550,8634957,54e2db55892a66ce1f8f655f3f4ee9a7,2023-07-07 09:53:35.380,2023-07-07 09:53:36.877,2023-07-07 09:53:36.873,555372101,T
62793752,8634980,523d7fdad3a2e9a43bf691bcf7bd7255,2023-07-07 10:00:56.720,2023-07-07 10:00:59.207,2023-07-07 10:00:59.203,555372902,T
62793898,8634998,079446aa7b829361c1347ac39398e243,2023-07-07 10:05:47.617,2023-07-07 10:05:48.117,2023-07-07 10:05:48.113,555292006,T
62793941,8634998,f4ae16ec12da02e1fe3bf1d18d549f8e,2023-07-07 10:07:14.573,2023-07-07 10:07:17.083,2023-07-07 10:07:17.080,555292007,T
62793968,8634998,fe7cb8a24a5d2dfa2aa8ebf8c795e211,2023-07-07 10:08:15.380,2023-07-07 10:08:17.450,2023-07-07 10:08:17.443,555292008,T
62793987,8634998,318222617f623440d1f602cfeed70a6e,2023-07-07 10:08:55.813,2023-07-07 10:08:58.233,2023-07-07 10:08:58.230,555292009,T
62794132,8634985,c2a9fafe5300ed9bccd283225106d299,2023-07-07 10:13:52.270,2023-07-07 10:13:54.807,2023-07-07 10:13:54.800,555140713,T
62794148,8634985,a87fec74a7fd1ce5726d82d412132814,2023-07-07 10:14:39.563,2023-07-07 10:14:42.627,2023-07-07 10:14:42.623,555140714,T
62794472,8634962,4aa66473427964d389a1be5b763d9d65,2023-07-07 10:25:50.623,2023-07-07 10:25:51.803,2023-07-07 10:25:51.797,555190123,T
62794535,8634980,e26a422b621e7dfcee8dee7673be902a,2023-07-07 10:27:46.393,2023-07-07 10:27:49.113,2023-07-07 10:27:49.107,555372903,T
62794552,8634980,e26a422b621e7dfcee8dee7673be902a,2023-07-07 10:28:30.770,2023-07-07 10:28:33.023,2023-07-07 10:28:33.017,555372904,T
62794641,8634980,1c4e6dd4a8e224544e3c1bd2b637808b,2023-07-07 10:31:31.340,2023-07-07 10:31:33.957,2023-07-07 10:31:33.953,555372905,T
62794656,8634980,02d56e5371f191b0759cb1162afdbe4f,2023-07-07 10:32:08.353,2023-07-07 10:32:09.390,2023-07-07 10:32:09.390,555372906,T
62794692,8634957,f1b00b8ccfa2ceaa0f31856d41b5f1b9,2023-07-07 10:33:48.567,2023-07-07 10:33:52.087,2023-07-07 10:33:52.083,555372102,T
62795097,8634997,f2362b1c0c8ba0859dbb6c5285566d7b,2023-07-07 10:52:00.480,2023-07-07 10:52:04.023,2023-07-07 10:52:04.020,555984177,T
62795223,8634961,1e449bafd6b998af0f20a1a637b3d75a,2023-07-07 10:58:31.517,2023-07-07 10:58:33.177,2023-07-07 10:58:33.173,555918821,T
62795295,8634976,9e9176ccd052a22bd2afd165e6dc5735,2023-07-07 11:03:22.510,2023-07-07 11:03:26.010,2023-07-07 11:03:26.007,555290210,T
62795937,8634998,978fd6d35af6d38957fb4dab14875e51,2023-07-07 11:36:34.263,2023-07-07 11:36:37.597,2023-07-07 11:36:37.590,555387000,T
62796144,8634985,9d1ef76cd81b1b0c6647a95fdc71f28a,2023-07-07 11:48:22.810,2023-07-07 11:48:26.010,2023-07-07 11:48:26.003,555387800,T
62796160,8634985,8afc27c1db339689c247ef596c28abe1,2023-07-07 11:49:13.537,2023-07-07 11:49:16.273,2023-07-07 11:49:16.270,555387801,T
62796194,8634985,8a49f307cbf316477fee5bc4a092893a,2023-07-07 11:52:01.660,2023-07-07 11:52:02.280,2023-07-07 11:52:02.277,555387802,T
62797083,8634974,fe5ce690198b4b7bc4e79f45b9338173,2023-07-07 12:35:08.420,2023-07-07 12:35:12.683,2023-07-07 12:35:12.680,555232985,T
62797103,8634974,fe5ce690198b4b7bc4e79f45b9338173,2023-07-07 12:35:55.767,2023-07-07 12:35:58.493,2023-07-07 12:35:58.490,555232986,T
62797143,8634974,3b964de207b1416647994c5eba2d9881,2023-07-07 12:38:27.550,2023-07-07 12:38:38.930,2023-07-07 12:38:38.927,555232987,T
62797673,8634980,90c9bac977f098e337012527c8a0004a,2023-07-07 13:08:55.753,2023-07-07 13:08:59.413,2023-07-07 13:08:59.410,555247294,T
62797696,8634980,354b01d7371f2669d133090d56fb3c46,2023-07-07 13:09:56.373,2023-07-07 13:09:58.927,2023-07-07 13:09:58.923,555247295,T
62797768,8634980,3b3bcaed5db73a24b22dec6ff29dc0c5,2023-07-07 13:13:03.640,2023-07-07 13:13:05.493,2023-07-07 13:13:05.490,555247296,T
62797785,8634980,ffca99631e229598f67f5e971f13c405,2023-07-07 13:14:02.317,2023-07-07 13:14:05.103,2023-07-07 13:14:05.100,555247297,T
62797804,8634980,22ff619867d09cff5666681477524c58,2023-07-07 13:14:41.377,2023-07-07 13:14:45.070,2023-07-07 13:14:45.067,555247298,T
62797815,8634980,f8cebfaaa6c0108183b842cc011b2195,2023-07-07 13:15:04.653,2023-07-07 13:15:06.257,2023-07-07 13:15:06.253,555247299,T
62797852,8634980,3da7a32992ced76acd4f4b4e4d40a68e,2023-07-07 13:16:27.520,2023-07-07 13:16:28.397,2023-07-07 13:16:28.393,555358268,T
62798024,8634974,25cef7686fcea90bf0f2898d3e045b8f,2023-07-07 13:24:06.737,2023-07-07 13:24:07.350,2023-07-07 13:24:07.347,555232988,T
62798092,8634974,934dc2b637937da12a4c305423afb2d1,2023-07-07 13:27:10.183,2023-07-07 13:27:11.887,2023-07-07 13:27:11.883,555216367,T
62798113,8634994,7ceadb2fe02a282417aea97b56722ceb,2023-07-07 13:28:04.477,2023-07-07 13:28:08.350,2023-07-07 13:28:08.347,555382329,T
62798121,8634994,b32ad9f5939680842db603d6c7c6101a,2023-07-07 13:28:43.713,2023-07-07 13:28:44.850,2023-07-07 13:28:44.847,555382330,T
62798234,8634980,0cde0c1200c9ddff388f5fb3a4fb42e6,2023-07-07 13:33:27.670,2023-07-07 13:33:29.183,2023-07-07 13:33:29.180,555393200,T
62798290,8634988,363d2799cc7f13a7dd1a1e21bc4f8135,2023-07-07 13:35:44.177,2023-07-07 13:35:48.123,2023-07-07 13:35:48.120,555393600,T
62798459,8634988,387200294e44fa999532de6294a5abe8,2023-07-07 13:43:30.557,2023-07-07 13:43:34.530,2023-07-07 13:43:34.527,555735292,T
62798634,8634961,e7a445d2eb813ed13a33142b15cce72d,2023-07-07 13:51:23.587,2023-07-07 13:51:25.580,2023-07-07 13:51:25.577,555395300,T
62798695,8634988,e4680a605d64cd5850e0be088de19a5d,2023-07-07 13:53:44.420,2023-07-07 13:53:46.850,2023-07-07 13:53:46.850,555295936,T
62798921,8634988,e0e6de2d94ed0f4012205aa51b99c9fa,2023-07-07 14:02:07.593,2023-07-07 14:02:11.747,2023-07-07 14:02:11.740,555735294,T
62799165,8634963,325c18d7f3d00347d6be3d5ca598d92c,2023-07-07 14:11:05.370,2023-07-07 14:11:06.280,2023-07-07 14:11:06.277,555367937,L
62799358,8634968,f8d056ed135373b862f99ed785049158,2023-07-07 14:18:23.353,2023-07-07 14:18:25.707,2023-07-07 14:18:25.703,555311612,T
62799485,8634986,9a0c5bd79a62259460f894ab9bb91e69,2023-07-07 14:23:40.523,2023-07-07 14:23:41.220,2023-07-07 14:23:41.217,555201848,T
62799605,8634998,52fab300359ea5bd832dbea1239361ee,2023-07-07 14:28:05.860,2023-07-07 14:28:08.713,2023-07-07 14:28:08.710,555346248,T
62799630,8634998,52fab300359ea5bd832dbea1239361ee,2023-07-07 14:29:04.643,2023-07-07 14:29:06.733,2023-07-07 14:29:06.730,555346249,T
62799970,8634971,7d325c120c5c05f92c62b3e76cebda49,2023-07-07 14:41:40.550,2023-07-07 14:41:43.653,2023-07-07 14:41:43.650,555284972,T
62800003,8634971,d3a6731d555c0d1416b1f53c028ee4c9,2023-07-07 14:42:36.313,2023-07-07 14:42:40.563,2023-07-07 14:42:40.550,555284973,T
62800025,8634971,66e987b20802bcede6fe4582f6544485,2023-07-07 14:43:35.510,2023-07-07 14:43:38.300,2023-07-07 14:43:38.293,555284974,T
62800058,8634961,73c008c76948c2c6956cce8a57ae0074,2023-07-07 14:45:07.393,2023-07-07 14:45:10.057,2023-07-07 14:45:10.050,555369437,L
62800461,8634985,535104f298c103f75d600688a5959937,2023-07-07 14:58:37.567,2023-07-07 14:58:38.787,2023-07-07 14:58:38.783,555336045,T
62800570,8634997,3615bc03509bd6608418d3bd4b46c08a,2023-07-07 15:02:20.307,2023-07-07 15:02:22.363,2023-07-07 15:02:22.360,555295448,T
62800974,8634985,e5e02e9813173fbd9c5952aac6cd91f3,2023-07-07 15:14:37.583,2023-07-07 15:14:41.500,2023-07-07 15:14:41.500,555094568,T
62801010,8634985,e5e02e9813173fbd9c5952aac6cd91f3,2023-07-07 15:15:47.560,2023-07-07 15:15:51.077,2023-07-07 15:15:51.073,555094569,T
62801765,8634993,78a112351bae7da3645d2712db963204,2023-07-07 15:39:00.817,2023-07-07 15:39:04.760,2023-07-07 15:39:04.757,555352208,T
62801777,8634993,1ff60208d193c5826b615df34b46a2b2,2023-07-07 15:39:31.617,2023-07-07 15:39:35.070,2023-07-07 15:39:35.067,555352209,T
62802014,8634971,338ad7087c36a0951d510080c672061c,2023-07-07 15:46:33.547,2023-07-07 15:46:34.780,2023-07-07 15:46:34.780,555374904,L
62802148,8634986,be1145bf2656e5eedb788c9e6c5376ae,2023-07-07 15:50:16.670,2023-07-07 15:50:20.703,2023-07-07 15:50:20.693,555376294,T
62802238,8634986,be1145bf2656e5eedb788c9e6c5376ae,2023-07-07 15:53:01.623,2023-07-07 15:53:02.973,2023-07-07 15:53:02.970,555376295,T
62802263,8634986,be1145bf2656e5eedb788c9e6c5376ae,2023-07-07 15:53:45.487,2023-07-07 15:53:49.250,2023-07-07 15:53:49.247,555376296,T
62802291,8634998,dd0d11a96ed10626b5f8dae67a9037e1,2023-07-07 15:54:38.827,2023-07-07 15:54:40.770,2023-07-07 15:54:40.767,555400900,T
62802313,8634998,dd0d11a96ed10626b5f8dae67a9037e1,2023-07-07 15:55:24.673,2023-07-07 15:55:25.890,2023-07-07 15:55:25.887,555400901,T
62802731,8634997,171df48d81ca3cf8a96b40d96443f5c6,2023-07-07 16:07:53.703,2023-07-07 16:07:54.763,2023-07-07 16:07:54.760,555335030,T
62802739,8634997,5998e8a13841616b666fec1a5e77e84c,2023-07-07 16:08:06.403,2023-07-07 16:08:07.393,2023-07-07 16:08:07.390,555335031,T
62802783,8634997,be695e8390a5e0204c75aadcb1ea54af,2023-07-07 16:09:20.497,2023-07-07 16:09:21.660,2023-07-07 16:09:21.653,555335032,T
62803024,8634997,f7e729a625b9c81f5af661a9405a0a94,2023-07-07 16:16:39.460,2023-07-07 16:16:41.393,2023-07-07 16:16:41.390,555394002,T
62803225,8634971,523655c819dbcc7eafa05e4f57edb973,2023-07-07 16:22:05.453,2023-07-07 16:22:08.430,2023-07-07 16:22:08.423,555141736,T
62803246,8634998,0fe7399cd813c8cc1c9b9f9e09ab7ff5,2023-07-07 16:22:45.937,2023-07-07 16:22:46.593,2023-07-07 16:22:46.590,555201657,L
62803253,8634998,0fe7399cd813c8cc1c9b9f9e09ab7ff5,2023-07-07 16:23:03.533,2023-07-07 16:23:07.463,2023-07-07 16:23:07.460,555385795,L
62803397,8634974,2ccc619ae2e615f5b1fbe7cb6ac87393,2023-07-07 16:27:20.560,2023-07-07 16:27:21.663,2023-07-07 16:27:21.660,555001624,T
62803416,8634993,4a958b65800eeeb8430752eddca2eb0b,2023-07-07 16:27:47.177,2023-07-07 16:27:50.510,2023-07-07 16:27:50.507,555397602,T
62803625,8634963,1eb24f47ae896ca44baed59566e9be4d,2023-07-07 16:35:01.630,2023-07-07 16:35:04.100,2023-07-07 16:35:04.097,555293927,T
62803661,8634998,05fae56f5347cb1e2209bc8599014aaa,2023-07-07 16:36:20.573,2023-07-07 16:36:21.867,2023-07-07 16:36:21.863,555060554,T
62803673,8634997,a76e573200d198ba63fad15769d7328f,2023-07-07 16:36:39.537,2023-07-07 16:36:42.970,2023-07-07 16:36:42.970,555341692,T
62803760,8634985,348b78513aee0768a7abc82af5037345,2023-07-07 16:39:05.647,2023-07-07 16:39:09.467,2023-07-07 16:39:09.463,555299212,T
62803783,8634963,e73ab82b3d2689db699418627109e2d6,2023-07-07 16:39:47.633,2023-07-07 16:39:48.893,2023-07-07 16:39:48.890,555393801,T
62803801,8634962,d7a6c2779292a051328b7af69df61207,2023-07-07 16:40:15.150,2023-07-07 16:40:18.420,2023-07-07 16:40:18.417,555354860,T
62803812,8634974,26b3db9b4ebf614fa8d509a7c7ff731b,2023-07-07 16:40:34.477,2023-07-07 16:40:35.740,2023-07-07 16:40:35.737,555351304,T
62803825,8634962,196001085bef2f718e5a8dffa22aad46,2023-07-07 16:40:51.390,2023-07-07 16:40:52.840,2023-07-07 16:40:52.837,555354861,T
62803847,8634997,b6f32ffa7cb1c13effa9f4550f3d3818,2023-07-07 16:41:22.577,2023-07-07 16:41:23.707,2023-07-07 16:41:23.703,555341693,T
62803875,8634997,ea7a4597dbbad4802bbc5cc342ace408,2023-07-07 16:42:08.697,2023-07-07 16:42:11.107,2023-07-07 16:42:11.103,555341694,T
62803876,8634997,392452fdea5461b275dba8f04e4c9514,2023-07-07 16:42:11.557,2023-07-07 16:42:15.253,2023-07-07 16:42:15.250,555335033,T
62803890,8634963,0c96a52ebf326eb141d9215487952fbe,2023-07-07 16:42:32.503,2023-07-07 16:42:36.783,2023-07-07 16:42:36.777,555259028,T
62803891,8634971,4a36868e362abddce298dd482ce8be0b,2023-07-07 16:42:33.317,2023-07-07 16:42:36.903,2023-07-07 16:42:36.900,555107265,T
62803917,8634983,c8156e6d40f8bd4edbd8456c1707dcf4,2023-07-07 16:43:28.443,2023-07-07 16:43:30.070,2023-07-07 16:43:30.070,555394101,T
62803933,8634997,ede11522c758447a0894be020cb1a282,2023-07-07 16:43:57.550,2023-07-07 16:43:59.890,2023-07-07 16:43:59.887,555341695,T
62803967,8634997,b2fedce1d32b90245d3b237152c851d9,2023-07-07 16:44:49.337,2023-07-07 16:44:51.490,2023-07-07 16:44:51.483,555341696,T
62803992,8634997,be1daf0b08ae19965958a4f41dfcb824,2023-07-07 16:45:41.440,2023-07-07 16:45:42.647,2023-07-07 16:45:42.643,555341697,T
62803996,8634961,abd63f9a1686d5a56916ea2d9acfdd59,2023-07-07 16:45:46.760,2023-07-07 16:45:50.593,2023-07-07 16:45:50.583,555395301,T
62804004,8634961,68097a300ad19a287e6b81c2849b9aa2,2023-07-07 16:46:00.380,2023-07-07 16:46:04.060,2023-07-07 16:46:04.057,555382406,T
62804031,8634961,bbb0a45a7f5490641961c62980e8c74f,2023-07-07 16:46:43.430,2023-07-07 16:46:46.397,2023-07-07 16:46:46.390,555395302,T
62804103,8634957,3ef1f93dc17bab44448423be8e16c0c4,2023-07-07 16:49:12.407,2023-07-07 16:49:13.043,2023-07-07 16:49:13.040,555287099,T
62804106,8634985,2e64267af0793e1ad15e590bf7012c4a,2023-07-07 16:49:20.610,2023-07-07 16:49:21.253,2023-07-07 16:49:21.250,555335626,T
62804121,8634985,d9e9c54e0e1463cb0ca208e74132d3e0,2023-07-07 16:49:46.400,2023-07-07 16:49:49.807,2023-07-07 16:49:49.803,555335627,T
62804144,8634998,2806b1da2b1c18e3f43ec8223d03f7c1,2023-07-07 16:50:30.233,2023-07-07 16:50:31.640,2023-07-07 16:50:31.640,555292012,T
62804206,8634974,b2889db53f8c3295d3dd4ed2ff9f1d84,2023-07-07 16:52:32.703,2023-07-07 16:52:34.093,2023-07-07 16:52:34.090,555363703,T
62804219,8634997,c6028d5e6b8f8849031fdf650bc6d227,2023-07-07 16:53:15.730,2023-07-07 16:53:16.377,2023-07-07 16:53:16.373,555341698,T
62804237,8634997,c39571b04c8a21600882f56583c9bdd4,2023-07-07 16:53:45.657,2023-07-07 16:53:49.390,2023-07-07 16:53:49.387,555341699,T
62804245,8634974,b2889db53f8c3295d3dd4ed2ff9f1d84,2023-07-07 16:53:58.370,2023-07-07 16:54:02.247,2023-07-07 16:54:02.243,555363704,T
62804255,8634997,ca731ac8be3d820637ef5f584a3b6cf2,2023-07-07 16:54:15.580,2023-07-07 16:54:19.447,2023-07-07 16:54:19.443,555396105,T
62804256,8634974,b2889db53f8c3295d3dd4ed2ff9f1d84,2023-07-07 16:54:16.403,2023-07-07 16:54:19.670,2023-07-07 16:54:19.670,555363705,T
62804368,8634993,7bded68a16c44cd857e8a23e8383fd0c,2023-07-07 16:58:00.480,2023-07-07 16:58:03.940,2023-07-07 16:58:03.937,555311919,T
62804387,8634993,1963a86ced365fc5f9d5cdbdba5d89cd,2023-07-07 16:58:31.580,2023-07-07 16:58:33.097,2023-07-07 16:58:33.090,555311920,T
62804403,8634998,1679725da881f983ac411010775aacb4,2023-07-07 16:59:05.850,2023-07-07 16:59:09.377,2023-07-07 16:59:09.373,555387605,T
62804414,8634963,67bca794e8a0266fcc08c5ff0ffdf3e1,2023-07-07 16:59:23.427,2023-07-07 16:59:26.057,2023-07-07 16:59:26.050,555084971,T
62804424,8634961,790acf0ea5347411feb64c2d520fa086,2023-07-07 16:59:47.510,2023-07-07 16:59:50.830,2023-07-07 16:59:50.827,555351710,T
62804485,8634971,a1326b7ae2cfc0b0995c6faf1c326879,2023-07-07 17:02:02.747,2023-07-07 17:02:05.627,2023-07-07 17:02:05.623,555048890,T
62804506,8634971,9ce6c628278d8dfc385d029e6123af3f,2023-07-07 17:02:42.527,2023-07-07 17:02:44.170,2023-07-07 17:02:44.167,555048891,T
62804580,8634974,bd1acbe3b054a5619c422d1073c2d796,2023-07-07 17:05:01.800,2023-07-07 17:05:05.347,2023-07-07 17:05:05.343,555355006,T
62804594,8634974,b44f8aa2882da85919a7e5e131a91bb2,2023-07-07 17:05:34.367,2023-07-07 17:05:36.117,2023-07-07 17:05:36.113,555355007,T
62804600,8634963,18015a81881f0d2643079e8860bdc809,2023-07-07 17:05:51.367,2023-07-07 17:05:53.580,2023-07-07 17:05:53.577,555212343,T
62804617,8634997,b9fb4defec396285ac0332bc4ef18edf,2023-07-07 17:06:19.673,2023-07-07 17:06:23.363,2023-07-07 17:06:23.360,555396106,T
62804630,8634963,77ac0206d6cf2de10890e02a9f640731,2023-07-07 17:06:46.840,2023-07-07 17:06:49.960,2023-07-07 17:06:49.953,555212344,T
62804668,8634963,6783406568f068d2968ed2f9157bd8a3,2023-07-07 17:08:03.240,2023-07-07 17:08:06.840,2023-07-07 17:08:06.837,555212345,T
62804692,8634963,77ac0206d6cf2de10890e02a9f640731,2023-07-07 17:08:44.200,2023-07-07 17:08:45.230,2023-07-07 17:08:45.227,555212346,T
62804721,8634974,6b9aad10a1b0c8ed70a30b66b7dba4e9,2023-07-07 17:09:58.803,2023-07-07 17:10:00.020,2023-07-07 17:10:00.013,555355008,T
62804722,8634997,29f01e9d8481c2f0fd2f9d63a0341472,2023-07-07 17:10:00.850,2023-07-07 17:10:03.980,2023-07-07 17:10:03.977,555396107,T
62804757,8634997,816273fde3c6d6b73cbdc7cb2e3a1d0f,2023-07-07 17:10:57.487,2023-07-07 17:10:59.647,2023-07-07 17:10:59.643,555394003,T
62804769,8634985,1bc9b6cd0038caa2a71d4946c8c43c0c,2023-07-07 17:11:18.360,2023-07-07 17:11:20.410,2023-07-07 17:11:20.400,555259680,T
62804788,8634963,b683e2cc1a4f22c2e01df4dea4f715b9,2023-07-07 17:11:51.537,2023-07-07 17:11:53.610,2023-07-07 17:11:53.607,555363405,T
62804789,8634985,43f4689f921bd02f74bbeb702e08e31c,2023-07-07 17:11:52.757,2023-07-07 17:11:53.793,2023-07-07 17:11:53.790,555296027,T
62804808,8634986,852b5e85b1cec81f017f4d38cca76dd9,2023-07-07 17:12:43.920,2023-07-07 17:12:47.270,2023-07-07 17:12:47.267,555402801,T
62804841,8634976,e04448ef7df7ca647605cc2c8739a6ad,2023-07-07 17:13:51.290,2023-07-07 17:13:52.700,2023-07-07 17:13:52.697,555393705,T
62804929,8634983,2b5f3e135e78519f8e1cb386d2d5eb7a,2023-07-07 17:16:35.300,2023-07-07 17:16:38.087,2023-07-07 17:16:38.083,555394102,T
62804935,8634983,ba7189488f99e639012d43c87e122ed4,2023-07-07 17:17:00.620,2023-07-07 17:17:02.593,2023-07-07 17:17:02.593,555394103,T
62804947,8634961,c0a55253fdf71b8d02ab6bbb1f62964f,2023-07-07 17:17:32.423,2023-07-07 17:17:34.997,2023-07-07 17:17:34.993,555351711,T
62804966,8634976,114ca779fb0fb556fbecb71e5307fb74,2023-07-07 17:18:20.540,2023-07-07 17:18:22.923,2023-07-07 17:18:22.920,555352537,T
62804967,8634961,303c34085660816b592ee7e8bf334f91,2023-07-07 17:18:22.573,2023-07-07 17:18:23.220,2023-07-07 17:18:23.220,555351712,T
62804995,8634986,0c7090bd0478c773cf976a99ff1388ea,2023-07-07 17:19:11.543,2023-07-07 17:19:15.030,2023-07-07 17:19:15.027,555354211,T
62804996,8634961,97a1bdfe38a20758dd8be12cb93aa514,2023-07-07 17:19:12.360,2023-07-07 17:19:15.210,2023-07-07 17:19:15.207,555351713,T
62805008,8634993,73141c794eb16a206b9d92b77ca18460,2023-07-07 17:19:42.217,2023-07-07 17:19:43.967,2023-07-07 17:19:43.963,555355110,T
62805010,8634988,f2595ae240b2852bef6175b941886216,2023-07-07 17:19:46.680,2023-07-07 17:19:47.890,2023-07-07 17:19:47.887,555157846,T
62805019,8634961,7020712c60a06cebc25455d5a99cef6b,2023-07-07 17:20:09.517,2023-07-07 17:20:11.860,2023-07-07 17:20:11.860,555351714,T
62805026,8634971,dfb24faa0d15a52344c2110aedc93fae,2023-07-07 17:20:26.687,2023-07-07 17:20:28.290,2023-07-07 17:20:28.283,555424276,T
62805034,8634993,73141c794eb16a206b9d92b77ca18460,2023-07-07 17:20:40.507,2023-07-07 17:20:43.830,2023-07-07 17:20:43.827,555355111,T
62805047,8634961,db565f2f95fbaec496db1a048d0e46cd,2023-07-07 17:21:10.330,2023-07-07 17:21:12.097,2023-07-07 17:21:12.093,555333859,T
62805083,8634997,435d9e2820c1bfc63b462f6566b5e457,2023-07-07 17:22:39.583,2023-07-07 17:22:43.527,2023-07-07 17:22:43.513,555397301,T
62805117,8634980,1ae30afb06ef14a6dbe66756b5d00ac2,2023-07-07 17:24:11.357,2023-07-07 17:24:15.373,2023-07-07 17:24:15.370,555193277,T
62805154,8634986,e54f08de5673d78e547bd813e7ea5a1f,2023-07-07 17:25:18.580,2023-07-07 17:25:22.020,2023-07-07 17:25:22.017,555259543,T
62805260,8634997,833584b3cfdce55bce3eaf8aa930f4e9,2023-07-07 17:28:40.190,2023-07-07 17:28:42.700,2023-07-07 17:28:42.693,555350608,T
62805371,8634985,8498ade9e8d68bf59609eb9ef7899c75,2023-07-07 17:33:05.593,2023-07-07 17:33:07.057,2023-07-07 17:33:07.053,555288613,T
62805450,8634985,8498ade9e8d68bf59609eb9ef7899c75,2023-07-07 17:36:24.677,2023-07-07 17:36:28.953,2023-07-07 17:36:28.950,555288614,T
62805489,8634976,1830103843212dfb656f3b9575099c48,2023-07-07 17:37:31.830,2023-07-07 17:37:35.720,2023-07-07 17:37:35.717,555339222,T
62805505,8634998,8fa01a2b87475c67a60f9cc1724c7b95,2023-07-07 17:38:06.633,2023-07-07 17:38:09.363,2023-07-07 17:38:09.360,555198124,T
62805513,8634997,d2a1a1c86e85bff574b726a4d38e20ac,2023-07-07 17:38:25.397,2023-07-07 17:38:26.067,2023-07-07 17:38:26.063,555396108,T
62805529,8634961,000f1e02d917b200570a3ef2d08dd957,2023-07-07 17:38:48.777,2023-07-07 17:38:50.870,2023-07-07 17:38:50.870,555369438,L
62805531,8634980,378efe7fa46a2a8eb58ad52504819ba1,2023-07-07 17:38:50.410,2023-07-07 17:38:51.137,2023-07-07 17:38:51.133,555403600,T
62805550,8634997,6f7bf2c009081a93ee7d6632a430169f,2023-07-07 17:39:26.510,2023-07-07 17:39:28.477,2023-07-07 17:39:28.473,555396109,T
62805556,8634961,7f1d16846ff9f426fe357b18e47b96df,2023-07-07 17:39:35.497,2023-07-07 17:39:36.900,2023-07-07 17:39:36.897,555369439,L
62805560,8634997,d2a1a1c86e85bff574b726a4d38e20ac,2023-07-07 17:39:47.383,2023-07-07 17:39:49.283,2023-07-07 17:39:49.280,555396110,T
62805564,8634980,1b9059c6092848257bc8c3a4b27ddf0a,2023-07-07 17:39:55.577,2023-07-07 17:39:57.967,2023-07-07 17:39:57.960,555403601,T
62805571,8634983,6f110b1757d503b6ad8816ee07024f96,2023-07-07 17:40:14.363,2023-07-07 17:40:14.907,2023-07-07 17:40:14.903,555394104,T
62805587,8634980,1b9059c6092848257bc8c3a4b27ddf0a,2023-07-07 17:40:34.860,2023-07-07 17:40:36.237,2023-07-07 17:40:36.233,555403602,T
